PLAYER,MATCHES,OVERS,BALLS,WKTS,Avg,RUNS,4-FERS,5-FERS
Yuzvendra Chahal,17,68.0,408,27,19.52,527,1,1
Wanindu Hasaranga,16,57.0,342,26,16.54,430,1,1
Kagiso Rabada,13,48.0,288,23,17.65,406,2,0
Umran Malik,14,49.1,295,22,20.18,444,1,1
Kuldeep Yadav,14,49.4,298,21,19.95,419,2,0
Mohammed Shami,16,61.0,366,20,24.40,488,0,0
Josh Hazlewood,12,46.3,279,20,18.85,377,1,0
Rashid Khan,16,63.5,383,19,22.16,421,1,0
Harshal Patel,15,53.3,321,19,21.58,410,1,0
Prasidh Krishna,17,66.3,399,19,29.00,551,0,0
Avesh Khan,13,47.4,286,18,23.11,416,1,0
T Natarajan,11,43.0,258,18,22.56,406,0,0
Andre Russell,14,28.1,169,17,16.35,278,1,0
Umesh Yadav,12,48.0,288,16,21.19,339,1,0
Trent Boult,16,62.0,372,16,30.75,492,0,0
